CompetitionID,Arme,Sexe,Domaine,Federation,Categorie,Date,TitreCourt,TitreLong,CompetitionType,FileName
63,S,M,,BUL,C,07.11.2015,SMC-in,Cadet Circuit,Individual,1301.xml
539,F,F,,AUT,C,08.11.2015,FFC-in,ECC WF Ind.,Individual,1302.xml
538,F,M,,AUT,C,07.11.2015,FMC-in,ECC MF Ind.,Individual,1303.xml
584,F,F,I,AUT,C,07.11.2015,FFC-eq,Cadet Circuit Womens Foil Team,Team,1304.xml
583,F,M,I,AUT,C,08.11.2015,FMC-eq,ECC MF Team,Team,1305.xml
64,S,F,,BUL,C,07.11.2015,SFC-eq,Cadet Circuit,Team,1306.xml
65,S,M,,BUL,C,07.11.2015,SMC-eq,Cadet Circuit,Team,1307.xml
37,F,F,,SVK,C,17.10.2015,Coupe de Samaria 2015-teams,Cadet Circuit,Team,1310.xml
34,E,M,I,GER,C,14.11.2015,Cadet Circuit,Cadet Circuit,Individual,1311.xml
32,E,F,,GER,U,14.11.2015,Cadet Circuit Mc Donalds Cup,,Individual,1312.xml
33,E,F,Z,GER,C,14.11.2015,Cadet Circuit Mc Donalds Cup,,Team,1317.xml
15,E,M,I,,,15.11.2015,CC-Bonn Team,CC-Bonn Team 2015,Team,1320.xml
54,E,F,I,FRA,C,21.11.2015,EFC-in,Cadet Circuit,Individual,1324.xml
66,S,F,,RUS,C,21.11.2015,SFC-in 1370-2015,Cadet Circuit,Individual,1326.xml
55,E,F,I,FRA,C,21.11.2015,EFC-eq,Cadet Circuit,Team,1327.xml
46,F,F,I,GER,C,21.11.2015,spc2015,Pokal der Sparkasse Tauberfranken 2015,Individual,1328.xml
38,F,M,Z,GER,C,21.11.2015,Cadet Circuit,Cadet Circuit,Individual,1329.xml
67,S,M,,RUS,C,21.11.2015,SMC-in 1371-2015,Cadet Circuit,Individual,1330.xml
442,S,M,Z,GER,S,28.11.2015,U23 European Circuit U23 Circuit,,Individual,1333.xml
1396,S,F,Z,GER,S,28.11.2015,U23 European Circuit U23 Circuit,,Individual,1335.xml
503,S,F,,POL,B,28.11.2015,szabla kobiet,U23 European Circuit Women Sabre,Individual,1336.xml
502,S,M,,POL,B,28.11.2015,Szabla meczyzn,U23 European Circuit Men Sabre,Individual,1337.xml
532,F,F,,AUT,S,05.12.2015,FFU-in,U23 EC Women's Foil,Individual,1339.xml
